,horas,cantidad_NA,cantidad_Monday,cantidad_Tuesday,cantidad_Wednesday,cantidad_Thursday,cantidad_Friday,cantidad_Saturday,cantidad_Sunday,duracion_NA,duracion_Monday,duracion_Tuesday,duracion_Wednesday,duracion_Thursday,duracion_Friday,duracion_Saturday,duracion_Sunday,edad_NA,edad_Monday,edad_Tuesday,edad_Wednesday,edad_Thursday,edad_Friday,edad_Saturday,edad_Sunday,maproute_NA,maproute_Monday,maproute_Tuesday,maproute_Wednesday,maproute_Thursday,maproute_Friday,maproute_Saturday,maproute_Sunday,mapdis_NA,mapdis_Monday,mapdis_Tuesday,mapdis_Wednesday,mapdis_Thursday,mapdis_Friday,mapdis_Saturday,mapdis_Sunday,velroute_NA,velroute_Monday,velroute_Tuesday,velroute_Wednesday,velroute_Thursday,velroute_Friday,velroute_Saturday,velroute_Sunday,veldis_NA,veldis_Monday,veldis_Tuesday,veldis_Wednesday,veldis_Thursday,veldis_Friday,veldis_Saturday,veldis_Sunday,tarifa_NA,tarifa_Monday,tarifa_Tuesday,tarifa_Wednesday,tarifa_Thursday,tarifa_Friday,tarifa_Saturday,tarifa_Sunday
10,10,37632.0,4515.0,5136.0,4924.0,5142.0,4943.0,5124.0,7848.0,12.35,11.16,10.64,10.44,10.47,11.1,11.09,18.19,32.21,32.24,31.94,32.47,32.39,32.37,32.42,31.84,2041.29,1998.12,1928.76,1905.5,1904.97,1931.09,1952.79,2441.48,1504.99,1455.48,1414.59,1384.94,1392.4,1413.55,1427.77,1849.75,11.36,11.76,11.74,11.85,11.85,11.8,11.65,9.77,8.17,8.39,8.43,8.44,8.5,8.46,8.36,7.19,0.57,0.47,0.34,0.29,0.33,0.77,0.62,0.94
11,11,36429.0,4438.0,4750.0,4618.0,4662.0,4703.0,5080.0,8178.0,12.78,11.63,11.29,10.94,11.0,10.97,11.17,18.35,32.09,32.36,32.29,32.21,32.25,32.03,32.27,31.6,2039.48,1968.23,1950.05,1904.89,1952.67,1922.09,1883.74,2419.84,1505.76,1443.72,1427.37,1396.22,1421.65,1404.63,1372.49,1835.68,11.0,11.39,11.39,11.52,11.58,11.52,11.2,9.5,7.92,8.19,8.2,8.27,8.26,8.27,8.0,6.98,0.6,0.71,0.61,0.46,0.35,0.49,0.52,0.88
12,12,38571.0,4767.0,5221.0,5019.0,5024.0,4935.0,5780.0,7825.0,12.52,11.51,11.08,11.13,11.06,11.26,11.58,17.42,32.1,32.3,32.15,32.05,31.92,32.35,32.59,31.55,2030.27,1949.12,1938.93,1930.38,1969.18,1977.1,1943.71,2341.42,1496.03,1426.54,1421.43,1411.83,1440.99,1450.97,1416.2,1764.85,11.03,11.27,11.47,11.46,11.63,11.4,11.08,9.68,7.92,8.05,8.23,8.18,8.31,8.18,7.92,7.07,0.57,0.58,0.5,0.51,0.43,0.48,0.55,0.79
13,13,44476.0,5860.0,6222.0,6321.0,6311.0,5979.0,7165.0,6618.0,11.78,10.86,11.01,11.01,10.87,10.98,11.94,15.46,32.04,32.3,32.28,32.02,32.09,32.1,32.24,31.26,1996.82,1929.59,1965.15,1920.93,1935.05,1932.18,2020.72,2250.01,1470.41,1414.93,1439.86,1413.45,1419.44,1418.74,1479.1,1688.54,11.27,11.64,11.62,11.48,11.54,11.43,11.09,10.18,8.12,8.36,8.36,8.27,8.3,8.2,7.97,7.45,0.45,0.36,0.47,0.49,0.33,0.35,0.62,0.52
14,14,52262.0,7287.0,8038.0,7878.0,7789.0,7866.0,8579.0,4825.0,11.38,11.24,11.05,10.93,11.04,11.33,12.12,12.16,31.8,31.97,31.84,31.93,31.81,31.92,31.73,31.15,2021.78,2022.32,1995.62,1980.24,2007.12,2036.83,2098.02,1995.96,1490.2,1485.24,1467.04,1455.26,1478.22,1500.89,1562.03,1467.56,11.62,11.81,11.86,11.79,11.86,11.67,11.18,11.01,8.34,8.43,8.46,8.43,8.48,8.37,8.16,7.91,0.41,0.57,0.43,0.32,0.34,0.45,0.46,0.17
15,15,54199.0,7927.0,8592.0,8916.0,8790.0,8649.0,7024.0,4301.0,11.49,11.34,11.31,11.27,11.27,11.49,12.19,11.87,31.68,32.01,31.83,31.65,31.72,31.93,31.3,30.82,2092.47,2116.64,2103.97,2106.56,2084.82,2102.53,2048.5,2063.01,1544.72,1562.06,1552.34,1559.36,1536.8,1553.51,1511.02,1520.72,11.77,12.03,11.97,11.94,11.94,11.73,11.09,11.44,8.49,8.67,8.64,8.65,8.58,8.48,7.97,8.25,0.39,0.38,0.38,0.31,0.36,0.39,0.69,0.19
16,16,50004.0,7739.0,8448.0,8203.0,8158.0,8387.0,5509.0,3560.0,11.63,11.6,11.55,11.49,11.62,11.87,11.67,11.55,31.7,31.78,32.08,31.87,32.01,31.64,31.09,30.67,2135.05,2173.81,2160.24,2148.12,2173.23,2145.09,2013.36,2038.07,1592.71,1629.37,1620.83,1607.81,1626.34,1605.6,1472.92,1489.47,11.77,11.95,11.93,11.95,11.86,11.62,11.21,11.57,8.6,8.77,8.78,8.78,8.69,8.52,8.07,8.25,0.35,0.31,0.33,0.32,0.32,0.5,0.48,0.08
17,17,63241.0,10629.0,11878.0,11236.0,11449.0,9948.0,4806.0,3295.0,12.35,12.34,12.36,12.5,12.31,12.51,12.11,11.78,31.65,31.79,31.78,31.72,31.82,31.69,31.09,30.5,2292.74,2337.46,2345.09,2356.43,2319.83,2274.57,2057.57,2046.29,1713.5,1750.97,1753.19,1769.46,1737.39,1698.05,1520.5,1503.94,11.76,11.94,11.91,11.81,11.87,11.59,11.16,11.52,8.63,8.78,8.74,8.71,8.72,8.52,8.12,8.25,0.43,0.35,0.4,0.37,0.38,0.57,0.72,0.25
18,18,82352.0,14681.0,16327.0,15825.0,15385.0,12123.0,4492.0,3519.0,12.87,12.96,12.92,12.92,13.06,12.99,11.89,12.16,31.51,31.47,31.36,31.66,31.57,31.65,31.46,31.08,2364.2,2402.16,2428.24,2385.8,2403.19,2360.46,2039.39,2068.64,1775.43,1809.71,1831.95,1796.17,1808.88,1765.89,1491.01,1526.63,11.59,11.75,11.71,11.58,11.61,11.46,11.2,11.24,8.59,8.75,8.73,8.61,8.64,8.47,8.03,8.09,0.5,0.51,0.41,0.49,0.59,0.53,0.63,0.21
19,19,58522.0,9905.0,11037.0,10411.0,10353.0,8573.0,4594.0,3649.0,12.36,12.36,12.38,12.44,12.36,12.43,12.15,12.1,31.46,31.48,31.37,31.49,31.52,31.58,31.74,30.77,2187.91,2214.58,2224.27,2224.78,2212.98,2178.28,2050.93,2024.26,1625.32,1645.37,1655.38,1657.97,1642.53,1619.9,1515.87,1488.54,11.3,11.46,11.34,11.34,11.35,11.16,11.06,11.06,8.26,8.37,8.3,8.32,8.3,8.18,8.03,7.98,0.45,0.47,0.35,0.46,0.46,0.52,0.62,0.24
20,20,40465.0,6587.0,7012.0,6884.0,6999.0,5854.0,3859.0,3270.0,11.62,11.45,11.47,11.94,11.51,11.81,11.64,11.48,31.11,31.15,31.17,31.05,31.13,30.97,31.31,31.05,2072.71,2076.69,2084.94,2129.73,2078.69,2080.83,1992.62,1985.52,1536.9,1538.03,1551.17,1579.45,1546.56,1542.68,1467.7,1465.1,11.47,11.61,11.62,11.59,11.55,11.21,11.08,11.38,8.34,8.43,8.48,8.43,8.43,8.17,7.99,8.17,0.41,0.35,0.4,0.69,0.4,0.35,0.42,0.08
21,21,29312.0,4688.0,4674.0,4831.0,4866.0,4265.0,3276.0,2712.0,11.46,11.33,11.48,11.52,11.49,11.52,11.66,11.18,30.79,30.48,30.82,30.99,31.09,30.81,30.73,30.46,2098.83,2108.57,2121.84,2179.43,2098.57,2043.7,2051.15,2043.51,1559.1,1581.98,1575.56,1623.17,1556.54,1512.53,1520.76,1501.19,11.8,12.03,11.99,12.08,11.65,11.48,11.44,11.79,8.6,8.86,8.72,8.8,8.52,8.38,8.33,8.46,0.44,0.48,0.58,0.36,0.41,0.48,0.63,0.05
22,22,14053.0,1893.0,2012.0,2070.0,2391.0,2268.0,1944.0,1475.0,11.34,10.94,11.3,11.75,11.44,11.52,11.31,10.95,31.02,30.59,31.05,31.06,31.2,30.83,31.09,31.36,2050.04,2049.49,2104.84,2059.26,2053.71,2041.91,2012.01,2019.67,1500.29,1491.29,1549.17,1518.78,1517.33,1490.99,1458.38,1461.09,11.83,12.0,11.92,11.94,11.78,11.65,11.57,12.08,8.47,8.55,8.6,8.58,8.52,8.32,8.23,8.52,0.5,0.25,0.35,1.15,0.57,0.58,0.35,0.08
23,23,6748.0,764.0,876.0,993.0,1097.0,1210.0,1133.0,675.0,11.81,11.2,11.71,11.98,11.75,11.42,12.74,11.63,30.86,31.14,30.54,30.98,30.24,31.5,30.98,30.4,2169.29,2167.11,2213.4,2203.84,2171.74,2057.45,2229.51,2159.11,1602.85,1603.63,1642.16,1622.25,1597.38,1519.95,1659.06,1585.52,11.94,12.47,12.21,12.33,11.72,11.6,11.56,12.0,8.7,9.11,8.92,8.95,8.53,8.46,8.53,8.58,0.6,0.29,0.26,0.87,0.38,0.51,1.46,0.04
